"rt","response","stim","video","question","box_colour_left","box_colour_right","correct_key","polarity","matching","modality","verbal","gesture","speaker","order","width","height","browser","vsync_rate","os","age","gender","handedness","date","blockNum","trialNum","error","vpNum"
"1563","j","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenhoch_f.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","match","gesture","yes","ThumbUp","female","gesture-speech","1470","920","safari","30.38","Mac OS","21","female","right","Sat Oct 12 2024 17:30:57 GMT+0200 (Mitteleuropäische Sommerzeit)","1","1","1","1728750181301"
"1378","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenrunter_m_no_sound.mp4","Ist der Ball in der blauen Box?","Blue","Green","J","negation","na","gesture","na","ThumbDown","male","gesture-speech","1470","920","safari","30.38","Mac OS","21","female","right","Sat Oct 12 2024 17:31:04 GMT+0200 (Mitteleuropäische Sommerzeit)","1","2","0","1728750181301"
"1289","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenhoch_f_no_sound.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","na","gesture","na","ThumbUp","female","gesture-speech","1470","920","safari","30.38","Mac OS","21","female","right","Sat Oct 12 2024 17:31:11 GMT+0200 (Mitteleuropäische Sommerzeit)","1","3","0","1728750181301"
"1233","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenrunter_f_no_sound.mp4","Ist der Ball in der grünen Box?","Green","Blue","J","negation","na","gesture","na","ThumbDown","female","gesture-speech","1470","920","safari","30.38","Mac OS","21","female","right","Sat Oct 12 2024 17:31:17 GMT+0200 (Mitteleuropäische Sommerzeit)","1","4","0","1728750181301"
"1248","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenhoch_f.mp4","Ist der Ball in der grünen Box?","Blue","Green","J","affirmation","match","gesture","yes","ThumbUp","female","gesture-speech","1470","920","safari","30.38","Mac OS","21","female","right","Sat Oct 12 2024 17:31:24 GMT+0200 (Mitteleuropäische Sommerzeit)","1","5","1","1728750181301"
"1285","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenrunter_m.mp4","Ist der Ball in der grünen Box?","Blue","Green","F","negation","match","gesture","no","ThumbDown","male","gesture-speech","1470","920","safari","30.38","Mac OS","21","female","right","Sat Oct 12 2024 17:31:31 GMT+0200 (Mitteleuropäische Sommerzeit)","1","6","1","1728750181301"
"1399","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenrunter_f_no_sound.mp4","Ist der Ball in der blauen Box?","Blue","Green","J","negation","na","gesture","na","ThumbDown","female","gesture-speech","1470","920","safari","30.38","Mac OS","21","female","right","Sat Oct 12 2024 17:31:38 GMT+0200 (Mitteleuropäische Sommerzeit)","1","7","0","1728750181301"
"1164","f","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenhoch_f_no_sound.mp4","Ist der Ball in der blauen Box?","Blue","Green","F","affirmation","na","gesture","na","ThumbUp","female","gesture-speech","1470","920","safari","30.38","Mac OS","21","female","right","Sat Oct 12 2024 17:31:45 GMT+0200 (Mitteleuropäische Sommerzeit)","1","8","0","1728750181301"
"1258","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenhoch_m.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","match","gesture","yes","ThumbUp","male","gesture-speech","1470","920","safari","30.38","Mac OS","21","female","right","Sat Oct 12 2024 17:31:51 GMT+0200 (Mitteleuropäische Sommerzeit)","1","9","0","1728750181301"
"1233","j","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenrunter_f.mp4","Ist der Ball in der grünen Box?","Green","Blue","J","negation","mismatch","gesture","yes","ThumbDown","female","gesture-speech","1470","920","safari","30.38","Mac OS","21","female","right","Sat Oct 12 2024 17:31:58 GMT+0200 (Mitteleuropäische Sommerzeit)","1","10","0","1728750181301"
