"rt","response","stim","video","question","box_colour_left","box_colour_right","correct_key","polarity","matching","modality","verbal","gesture","speaker","order","width","height","browser","vsync_rate","os","age","gender","handedness","date","blockNum","trialNum","error","vpNum"
"630","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenhoch_m.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","match","gesture","yes","ThumbUp","male","gesture-speech","1422","800","edge-chromium","60.27","Windows 10","22","male","right","Mon Aug 19 2024 21:23:05 GMT+0200 (Mitteleuropäische Sommerzeit)","1","1","0","1724097256898"
"544","j","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenrunter_m.mp4","Ist der Ball in der grünen Box?","Green","Blue","J","negation","mismatch","gesture","yes","ThumbDown","male","gesture-speech","1422","800","edge-chromium","60.27","Windows 10","22","male","right","Mon Aug 19 2024 21:23:11 GMT+0200 (Mitteleuropäische Sommerzeit)","1","2","0","1724097256898"
"631","f","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenhoch_m.mp4","Ist der Ball in der blauen Box?","Blue","Green","F","affirmation","mismatch","gesture","no","ThumbUp","male","gesture-speech","1422","800","edge-chromium","60.27","Windows 10","22","male","right","Mon Aug 19 2024 21:23:17 GMT+0200 (Mitteleuropäische Sommerzeit)","1","3","0","1724097256898"
"876","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenrunter_f.mp4","Ist der Ball in der grünen Box?","Green","Blue","J","negation","match","gesture","no","ThumbDown","female","gesture-speech","1422","800","edge-chromium","60.27","Windows 10","22","male","right","Mon Aug 19 2024 21:23:23 GMT+0200 (Mitteleuropäische Sommerzeit)","1","4","0","1724097256898"
"694","j","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenhoch_f.mp4","Ist der Ball in der grünen Box?","Blue","Green","J","affirmation","match","gesture","yes","ThumbUp","female","gesture-speech","1422","800","edge-chromium","60.27","Windows 10","22","male","right","Mon Aug 19 2024 21:23:30 GMT+0200 (Mitteleuropäische Sommerzeit)","1","5","0","1724097256898"
"666","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenrunter_m.mp4","Ist der Ball in der blauen Box?","Blue","Green","J","negation","match","gesture","no","ThumbDown","male","gesture-speech","1422","800","edge-chromium","60.27","Windows 10","22","male","right","Mon Aug 19 2024 21:23:36 GMT+0200 (Mitteleuropäische Sommerzeit)","1","6","0","1724097256898"
"558","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenrunter_m.mp4","Ist der Ball in der grünen Box?","Blue","Green","F","negation","match","gesture","no","ThumbDown","male","gesture-speech","1422","800","edge-chromium","60.27","Windows 10","22","male","right","Mon Aug 19 2024 21:23:42 GMT+0200 (Mitteleuropäische Sommerzeit)","1","7","1","1724097256898"
"681","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenhoch_f.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","match","gesture","yes","ThumbUp","female","gesture-speech","1422","800","edge-chromium","60.27","Windows 10","22","male","right","Mon Aug 19 2024 21:23:48 GMT+0200 (Mitteleuropäische Sommerzeit)","1","8","0","1724097256898"
"671","j","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenhoch_m.mp4","Ist der Ball in der blauen Box?","Green","Blue","J","affirmation","match","gesture","yes","ThumbUp","male","gesture-speech","1422","800","edge-chromium","60.27","Windows 10","22","male","right","Mon Aug 19 2024 21:23:54 GMT+0200 (Mitteleuropäische Sommerzeit)","1","9","0","1724097256898"
"845","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenrunter_m.mp4","Ist der Ball in der grünen Box?","Blue","Green","F","negation","mismatch","gesture","yes","ThumbDown","male","gesture-speech","1422","800","edge-chromium","60.27","Windows 10","22","male","right","Mon Aug 19 2024 21:24:01 GMT+0200 (Mitteleuropäische Sommerzeit)","1","10","0","1724097256898"
"822","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenrunter_f.mp4","Ist der Ball in der blauen Box?","Blue","Green","J","negation","match","gesture","no","ThumbDown","female","gesture-speech","1422","800","edge-chromium","60.27","Windows 10","22","male","right","Mon Aug 19 2024 21:24:07 GMT+0200 (Mitteleuropäische Sommerzeit)","1","11","0","1724097256898"
"696","j","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenhoch_f.mp4","Ist der Ball in der grünen Box?","Blue","Green","J","affirmation","match","gesture","yes","ThumbUp","female","gesture-speech","1422","800","edge-chromium","60.27","Windows 10","22","male","right","Mon Aug 19 2024 21:24:13 GMT+0200 (Mitteleuropäische Sommerzeit)","1","12","0","1724097256898"
"904","j","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenrunter_m.mp4","Ist der Ball in der blauen Box?","Blue","Green","J","negation","mismatch","gesture","yes","ThumbDown","male","gesture-speech","1422","800","edge-chromium","60.27","Windows 10","22","male","right","Mon Aug 19 2024 21:24:20 GMT+0200 (Mitteleuropäische Sommerzeit)","1","13","0","1724097256898"
"962","f","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenhoch_f.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","mismatch","gesture","no","ThumbUp","female","gesture-speech","1422","800","edge-chromium","60.27","Windows 10","22","male","right","Mon Aug 19 2024 21:24:26 GMT+0200 (Mitteleuropäische Sommerzeit)","1","14","0","1724097256898"
"801","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenrunter_m.mp4","Ist der Ball in der grünen Box?","Blue","Green","F","negation","mismatch","gesture","yes","ThumbDown","male","gesture-speech","1422","800","edge-chromium","60.27","Windows 10","22","male","right","Mon Aug 19 2024 21:24:33 GMT+0200 (Mitteleuropäische Sommerzeit)","1","15","0","1724097256898"
"624","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenhoch_m.mp4","Ist der Ball in der grünen Box?","Blue","Green","J","affirmation","mismatch","gesture","no","ThumbUp","male","gesture-speech","1422","800","edge-chromium","60.27","Windows 10","22","male","right","Mon Aug 19 2024 21:24:39 GMT+0200 (Mitteleuropäische Sommerzeit)","1","16","0","1724097256898"
"905","f","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenrunter_f.mp4","Ist der Ball in der grünen Box?","Blue","Green","F","negation","match","gesture","no","ThumbDown","female","gesture-speech","1422","800","edge-chromium","60.27","Windows 10","22","male","right","Mon Aug 19 2024 21:24:45 GMT+0200 (Mitteleuropäische Sommerzeit)","1","17","0","1724097256898"
"631","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenhoch_f.mp4","Ist der Ball in der blauen Box?","Green","Blue","J","affirmation","mismatch","gesture","no","ThumbUp","female","gesture-speech","1422","800","edge-chromium","60.27","Windows 10","22","male","right","Mon Aug 19 2024 21:24:51 GMT+0200 (Mitteleuropäische Sommerzeit)","1","18","0","1724097256898"
"634","f","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenhoch_f.mp4","Ist der Ball in der blauen Box?","Blue","Green","F","affirmation","mismatch","gesture","no","ThumbUp","female","gesture-speech","1422","800","edge-chromium","60.27","Windows 10","22","male","right","Mon Aug 19 2024 21:24:58 GMT+0200 (Mitteleuropäische Sommerzeit)","1","19","0","1724097256898"
"748","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenhoch_f.mp4","Ist der Ball in der grünen Box?","Blue","Green","J","affirmation","mismatch","gesture","no","ThumbUp","female","gesture-speech","1422","800","edge-chromium","60.27","Windows 10","22","male","right","Mon Aug 19 2024 21:25:04 GMT+0200 (Mitteleuropäische Sommerzeit)","1","20","0","1724097256898"
"914","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenrunter_f.mp4","Ist der Ball in der grünen Box?","Green","Blue","J","negation","match","gesture","no","ThumbDown","female","gesture-speech","1422","800","edge-chromium","60.27","Windows 10","22","male","right","Mon Aug 19 2024 21:25:10 GMT+0200 (Mitteleuropäische Sommerzeit)","1","21","0","1724097256898"
"664","f","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenhoch_f.mp4","Ist der Ball in der blauen Box?","Blue","Green","F","affirmation","mismatch","gesture","no","ThumbUp","female","gesture-speech","1422","800","edge-chromium","60.27","Windows 10","22","male","right","Mon Aug 19 2024 21:25:17 GMT+0200 (Mitteleuropäische Sommerzeit)","1","22","0","1724097256898"
"798","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenhoch_f.mp4","Ist der Ball in der blauen Box?","Green","Blue","J","affirmation","mismatch","gesture","no","ThumbUp","female","gesture-speech","1422","800","edge-chromium","60.27","Windows 10","22","male","right","Mon Aug 19 2024 21:25:23 GMT+0200 (Mitteleuropäische Sommerzeit)","1","23","0","1724097256898"
"715","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenrunter_m.mp4","Ist der Ball in der blauen Box?","Blue","Green","J","negation","match","gesture","no","ThumbDown","male","gesture-speech","1422","800","edge-chromium","60.27","Windows 10","22","male","right","Mon Aug 19 2024 21:25:29 GMT+0200 (Mitteleuropäische Sommerzeit)","1","24","0","1724097256898"
"693","j","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenrunter_f.mp4","Ist der Ball in der grünen Box?","Green","Blue","J","negation","mismatch","gesture","yes","ThumbDown","female","gesture-speech","1422","800","edge-chromium","60.27","Windows 10","22","male","right","Mon Aug 19 2024 21:25:36 GMT+0200 (Mitteleuropäische Sommerzeit)","1","25","0","1724097256898"
"647","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenhoch_m.mp4","Ist der Ball in der blauen Box?","Blue","Green","F","affirmation","match","gesture","yes","ThumbUp","male","gesture-speech","1422","800","edge-chromium","60.27","Windows 10","22","male","right","Mon Aug 19 2024 21:25:42 GMT+0200 (Mitteleuropäische Sommerzeit)","1","26","0","1724097256898"
"719","j","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenrunter_f.mp4","Ist der Ball in der grünen Box?","Green","Blue","J","negation","mismatch","gesture","yes","ThumbDown","female","gesture-speech","1422","800","edge-chromium","60.27","Windows 10","22","male","right","Mon Aug 19 2024 21:25:48 GMT+0200 (Mitteleuropäische Sommerzeit)","1","27","0","1724097256898"
"818","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenrunter_f.mp4","Ist der Ball in der blauen Box?","Blue","Green","J","negation","match","gesture","no","ThumbDown","female","gesture-speech","1422","800","edge-chromium","60.27","Windows 10","22","male","right","Mon Aug 19 2024 21:25:54 GMT+0200 (Mitteleuropäische Sommerzeit)","1","28","0","1724097256898"
"707","j","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenrunter_m.mp4","Ist der Ball in der blauen Box?","Blue","Green","J","negation","mismatch","gesture","yes","ThumbDown","male","gesture-speech","1422","800","edge-chromium","60.27","Windows 10","22","male","right","Mon Aug 19 2024 21:26:01 GMT+0200 (Mitteleuropäische Sommerzeit)","1","29","0","1724097256898"
"677","f","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenrunter_m.mp4","Ist der Ball in der blauen Box?","Green","Blue","F","negation","match","gesture","no","ThumbDown","male","gesture-speech","1422","800","edge-chromium","60.27","Windows 10","22","male","right","Mon Aug 19 2024 21:26:07 GMT+0200 (Mitteleuropäische Sommerzeit)","1","30","0","1724097256898"
"655","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenhoch_m.mp4","Ist der Ball in der blauen Box?","Green","Blue","J","affirmation","mismatch","gesture","no","ThumbUp","male","gesture-speech","1422","800","edge-chromium","60.27","Windows 10","22","male","right","Mon Aug 19 2024 21:26:13 GMT+0200 (Mitteleuropäische Sommerzeit)","1","31","0","1724097256898"
"803","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenrunter_m.mp4","Ist der Ball in der blauen Box?","Green","Blue","F","negation","mismatch","gesture","yes","ThumbDown","male","gesture-speech","1422","800","edge-chromium","60.27","Windows 10","22","male","right","Mon Aug 19 2024 21:26:19 GMT+0200 (Mitteleuropäische Sommerzeit)","1","32","0","1724097256898"
