"rt","response","stim","video","question","box_colour_left","box_colour_right","correct_key","polarity","matching","modality","verbal","gesture","speaker","order","width","height","browser","vsync_rate","os","age","gender","handedness","date","blockNum","trialNum","error","vpNum"
"1298","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenhoch_f_no_sound.mp4","Ist der Ball in der blauen Box?","Green","Blue","J","affirmation","na","gesture","na","ThumbUp","female","gesture-speech","1536","864","chrome","60.51","Windows 10","24","female","right","Sat Oct 12 2024 10:11:43 GMT+0200 (Mitteleuropäische Sommerzeit)","1","1","0","1728768019799"
"1326","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenhoch_f_no_sound.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","na","gesture","na","ThumbUp","female","gesture-speech","1536","864","chrome","60.51","Windows 10","24","female","right","Sat Oct 12 2024 10:11:50 GMT+0200 (Mitteleuropäische Sommerzeit)","1","2","0","1728768019799"
"2619","f","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenhoch_f.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","mismatch","gesture","no","ThumbUp","female","gesture-speech","1536","864","chrome","60.51","Windows 10","24","female","right","Sat Oct 12 2024 10:11:58 GMT+0200 (Mitteleuropäische Sommerzeit)","1","3","0","1728768019799"
"1307","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenrunter_m.mp4","Ist der Ball in der blauen Box?","Blue","Green","J","negation","mismatch","gesture","yes","ThumbDown","male","gesture-speech","1536","864","chrome","60.51","Windows 10","24","female","right","Sat Oct 12 2024 10:12:05 GMT+0200 (Mitteleuropäische Sommerzeit)","1","4","1","1728768019799"
"1866","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenhoch_m.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","match","gesture","yes","ThumbUp","male","gesture-speech","1536","864","chrome","60.51","Windows 10","24","female","right","Sat Oct 12 2024 10:12:13 GMT+0200 (Mitteleuropäische Sommerzeit)","1","5","0","1728768019799"
"1255","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenhoch_f.mp4","Ist der Ball in der blauen Box?","Blue","Green","F","affirmation","mismatch","gesture","no","ThumbUp","female","gesture-speech","1536","864","chrome","60.51","Windows 10","24","female","right","Sat Oct 12 2024 10:12:20 GMT+0200 (Mitteleuropäische Sommerzeit)","1","6","1","1728768019799"
"1121","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenhoch_f_no_sound.mp4","Ist der Ball in der grünen Box?","Blue","Green","J","affirmation","na","gesture","na","ThumbUp","female","gesture-speech","1536","864","chrome","60.51","Windows 10","24","female","right","Sat Oct 12 2024 10:12:26 GMT+0200 (Mitteleuropäische Sommerzeit)","1","7","1","1728768019799"
"3138","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenrunter_f.mp4","Ist der Ball in der grünen Box?","Green","Blue","J","negation","mismatch","gesture","yes","ThumbDown","female","gesture-speech","1536","864","chrome","60.51","Windows 10","24","female","right","Sat Oct 12 2024 10:12:35 GMT+0200 (Mitteleuropäische Sommerzeit)","1","8","1","1728768019799"
"1284","j","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenhoch_m.mp4","Ist der Ball in der blauen Box?","Green","Blue","J","affirmation","match","gesture","yes","ThumbUp","male","gesture-speech","1536","864","chrome","60.51","Windows 10","24","female","right","Sat Oct 12 2024 10:12:42 GMT+0200 (Mitteleuropäische Sommerzeit)","1","9","0","1728768019799"
"1417","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenhoch_f.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","match","gesture","yes","ThumbUp","female","gesture-speech","1536","864","chrome","60.51","Windows 10","24","female","right","Sat Oct 12 2024 10:12:49 GMT+0200 (Mitteleuropäische Sommerzeit)","1","10","0","1728768019799"
