"rt","response","stim","video","question","box_colour_left","box_colour_right","correct_key","polarity","matching","modality","verbal","gesture","speaker","order","width","height","browser","vsync_rate","os","age","gender","handedness","date","blockNum","trialNum","error","vpNum"
"1481","f","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenhoch_m_no_gesture.mp4","Ist der Ball in der blauen Box?","Green","Blue","F","negation","na","speech","no","na","male","speech-gesture","1536","864","firefox","61.98","Windows 10","20","female","right","Fri Oct 11 2024 23:58:31 GMT+0200 (Mitteleuropäische Sommerzeit)","1","1","0","1728686612202"
"1534","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenrunter_m_no_gesture.mp4","Ist der Ball in der blauen Box?","Blue","Green","J","negation","na","speech","no","na","male","speech-gesture","1536","864","firefox","61.98","Windows 10","20","female","right","Fri Oct 11 2024 23:58:39 GMT+0200 (Mitteleuropäische Sommerzeit)","1","2","0","1728686612202"
"1239","f","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenrunter_f.mp4","Ist der Ball in der grünen Box?","Blue","Green","F","negation","match","speech","no","ThumbDown","female","speech-gesture","1536","864","firefox","61.98","Windows 10","20","female","right","Fri Oct 11 2024 23:58:45 GMT+0200 (Mitteleuropäische Sommerzeit)","1","3","0","1728686612202"
"1288","f","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenrunter_f.mp4","Ist der Ball in der grünen Box?","Green","Blue","J","negation","match","speech","no","ThumbDown","female","speech-gesture","1536","864","firefox","61.98","Windows 10","20","female","right","Fri Oct 11 2024 23:58:52 GMT+0200 (Mitteleuropäische Sommerzeit)","1","4","1","1728686612202"
"1174","j","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenrunter_m.mp4","Ist der Ball in der grünen Box?","Blue","Green","J","affirmation","mismatch","speech","yes","ThumbDown","male","speech-gesture","1536","864","firefox","61.98","Windows 10","20","female","right","Fri Oct 11 2024 23:58:59 GMT+0200 (Mitteleuropäische Sommerzeit)","1","5","0","1728686612202"
"1194","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenrunter_f.mp4","Ist der Ball in der blauen Box?","Blue","Green","F","affirmation","mismatch","speech","yes","ThumbDown","female","speech-gesture","1536","864","firefox","61.98","Windows 10","20","female","right","Fri Oct 11 2024 23:59:06 GMT+0200 (Mitteleuropäische Sommerzeit)","1","6","0","1728686612202"
"1149","j","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenhoch_f.mp4","Ist der Ball in der grünen Box?","Blue","Green","J","affirmation","match","speech","yes","ThumbUp","female","speech-gesture","1536","864","firefox","61.98","Windows 10","20","female","right","Fri Oct 11 2024 23:59:12 GMT+0200 (Mitteleuropäische Sommerzeit)","1","7","0","1728686612202"
"1043","f","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenhoch_m.mp4","Ist der Ball in der blauen Box?","Green","Blue","F","negation","mismatch","speech","no","ThumbUp","male","speech-gesture","1536","864","firefox","61.98","Windows 10","20","female","right","Fri Oct 11 2024 23:59:19 GMT+0200 (Mitteleuropäische Sommerzeit)","1","8","0","1728686612202"
"1050","f","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenhoch_f.mp4","Ist der Ball in der grünen Box?","Blue","Green","F","negation","mismatch","speech","no","ThumbUp","female","speech-gesture","1536","864","firefox","61.98","Windows 10","20","female","right","Fri Oct 11 2024 23:59:26 GMT+0200 (Mitteleuropäische Sommerzeit)","1","9","0","1728686612202"
"1035","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenhoch_f_no_gesture.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","na","speech","yes","na","female","speech-gesture","1536","864","firefox","61.98","Windows 10","20","female","right","Fri Oct 11 2024 23:59:32 GMT+0200 (Mitteleuropäische Sommerzeit)","1","10","0","1728686612202"
