"rt","response","stim","video","question","box_colour_left","box_colour_right","correct_key","polarity","matching","modality","verbal","gesture","speaker","order","width","height","browser","vsync_rate","os","age","gender","handedness","date","blockNum","trialNum","error","vpNum"
"1869","f","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenhoch_m.mp4","Ist der Ball in der grünen Box?","Blue","Green","F","negation","mismatch","speech","no","ThumbUp","male","speech-gesture","1280","720","firefox","61.73","Windows 10","22","female","right","Sat Oct 12 2024 12:33:27 GMT+0200 (Mitteleuropäische Sommerzeit)","1","1","0","1728732311070"
"1483","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenrunter_f.mp4","Ist der Ball in der blauen Box?","Blue","Green","J","negation","match","speech","no","ThumbDown","female","speech-gesture","1280","720","firefox","61.73","Windows 10","22","female","right","Sat Oct 12 2024 12:33:34 GMT+0200 (Mitteleuropäische Sommerzeit)","1","2","0","1728732311070"
"1219","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenhoch_f.mp4","Ist der Ball in der blauen Box?","Blue","Green","F","affirmation","match","speech","yes","ThumbUp","female","speech-gesture","1280","720","firefox","61.73","Windows 10","22","female","right","Sat Oct 12 2024 12:33:40 GMT+0200 (Mitteleuropäische Sommerzeit)","1","3","0","1728732311070"
"1391","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenrunter_f_no_gesture.mp4","Ist der Ball in der grünen Box?","Green","Blue","J","negation","na","speech","no","na","female","speech-gesture","1280","720","firefox","61.73","Windows 10","22","female","right","Sat Oct 12 2024 12:33:47 GMT+0200 (Mitteleuropäische Sommerzeit)","1","4","0","1728732311070"
"1354","j","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenhoch_m_no_gesture.mp4","Ist der Ball in der grünen Box?","Blue","Green","J","affirmation","na","speech","yes","na","male","speech-gesture","1280","720","firefox","61.73","Windows 10","22","female","right","Sat Oct 12 2024 12:33:54 GMT+0200 (Mitteleuropäische Sommerzeit)","1","5","0","1728732311070"
"1494","f","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenrunter_f.mp4","Ist der Ball in der grünen Box?","Blue","Green","F","negation","match","speech","no","ThumbDown","female","speech-gesture","1280","720","firefox","61.73","Windows 10","22","female","right","Sat Oct 12 2024 12:34:01 GMT+0200 (Mitteleuropäische Sommerzeit)","1","6","0","1728732311070"
"1217","j","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenrunter_m.mp4","Ist der Ball in der grünen Box?","Blue","Green","J","affirmation","mismatch","speech","yes","ThumbDown","male","speech-gesture","1280","720","firefox","61.73","Windows 10","22","female","right","Sat Oct 12 2024 12:34:08 GMT+0200 (Mitteleuropäische Sommerzeit)","1","7","0","1728732311070"
"1659","f","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenhoch_f.mp4","Ist der Ball in der grünen Box?","Blue","Green","F","negation","mismatch","speech","no","ThumbUp","female","speech-gesture","1280","720","firefox","61.73","Windows 10","22","female","right","Sat Oct 12 2024 12:34:15 GMT+0200 (Mitteleuropäische Sommerzeit)","1","8","0","1728732311070"
"1151","f","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenhoch_m.mp4","Ist der Ball in der blauen Box?","Green","Blue","F","negation","mismatch","speech","no","ThumbUp","male","speech-gesture","1280","720","firefox","61.73","Windows 10","22","female","right","Sat Oct 12 2024 12:34:22 GMT+0200 (Mitteleuropäische Sommerzeit)","1","9","0","1728732311070"
"928","j","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenhoch_f.mp4","Ist der Ball in der blauen Box?","Green","Blue","J","affirmation","match","speech","yes","ThumbUp","female","speech-gesture","1280","720","firefox","61.73","Windows 10","22","female","right","Sat Oct 12 2024 12:34:28 GMT+0200 (Mitteleuropäische Sommerzeit)","1","10","0","1728732311070"
"985","j","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenhoch_f.mp4","Ist der Ball in der grünen Box?","Blue","Green","J","affirmation","match","speech","yes","ThumbUp","female","speech-gesture","1280","720","firefox","61.73","Windows 10","22","female","right","Sat Oct 12 2024 12:34:35 GMT+0200 (Mitteleuropäische Sommerzeit)","1","11","0","1728732311070"
"1310","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenhoch_f_no_gesture.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","na","speech","yes","na","female","speech-gesture","1280","720","firefox","61.73","Windows 10","22","female","right","Sat Oct 12 2024 12:34:42 GMT+0200 (Mitteleuropäische Sommerzeit)","1","12","0","1728732311070"
"1206","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenhoch_m_no_gesture.mp4","Ist der Ball in der blauen Box?","Blue","Green","J","negation","na","speech","no","na","male","speech-gesture","1280","720","firefox","61.73","Windows 10","22","female","right","Sat Oct 12 2024 12:34:49 GMT+0200 (Mitteleuropäische Sommerzeit)","1","13","0","1728732311070"
"1414","f","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenhoch_m_no_gesture.mp4","Ist der Ball in der blauen Box?","Green","Blue","F","negation","na","speech","no","na","male","speech-gesture","1280","720","firefox","61.73","Windows 10","22","female","right","Sat Oct 12 2024 12:34:56 GMT+0200 (Mitteleuropäische Sommerzeit)","1","14","0","1728732311070"
"1745","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenhoch_m.mp4","Ist der Ball in der grünen Box?","Green","Blue","J","negation","mismatch","speech","no","ThumbUp","male","speech-gesture","1280","720","firefox","61.73","Windows 10","22","female","right","Sat Oct 12 2024 12:35:03 GMT+0200 (Mitteleuropäische Sommerzeit)","1","15","0","1728732311070"
"1622","j","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenrunter_m.mp4","Ist der Ball in der grünen Box?","Blue","Green","J","affirmation","mismatch","speech","yes","ThumbDown","male","speech-gesture","1280","720","firefox","61.73","Windows 10","22","female","right","Sat Oct 12 2024 12:35:10 GMT+0200 (Mitteleuropäische Sommerzeit)","1","16","0","1728732311070"
"1084","j","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenrunter_m_no_gesture.mp4","Ist der Ball in der grünen Box?","Blue","Green","J","affirmation","na","speech","yes","na","male","speech-gesture","1280","720","firefox","61.73","Windows 10","22","female","right","Sat Oct 12 2024 12:35:17 GMT+0200 (Mitteleuropäische Sommerzeit)","1","17","0","1728732311070"
"932","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenrunter_m.mp4","Ist der Ball in der blauen Box?","Blue","Green","F","affirmation","mismatch","speech","yes","ThumbDown","male","speech-gesture","1280","720","firefox","61.73","Windows 10","22","female","right","Sat Oct 12 2024 12:35:24 GMT+0200 (Mitteleuropäische Sommerzeit)","1","18","0","1728732311070"
"2079","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenrunter_f.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","mismatch","speech","yes","ThumbDown","female","speech-gesture","1280","720","firefox","61.73","Windows 10","22","female","right","Sat Oct 12 2024 12:35:31 GMT+0200 (Mitteleuropäische Sommerzeit)","1","19","0","1728732311070"
"954","j","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenrunter_m.mp4","Ist der Ball in der blauen Box?","Green","Blue","J","affirmation","mismatch","speech","yes","ThumbDown","male","speech-gesture","1280","720","firefox","61.73","Windows 10","22","female","right","Sat Oct 12 2024 12:35:38 GMT+0200 (Mitteleuropäische Sommerzeit)","1","20","0","1728732311070"
"1217","f","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenhoch_f.mp4","Ist der Ball in der blauen Box?","Green","Blue","F","negation","mismatch","speech","no","ThumbUp","female","speech-gesture","1280","720","firefox","61.73","Windows 10","22","female","right","Sat Oct 12 2024 12:35:44 GMT+0200 (Mitteleuropäische Sommerzeit)","1","21","0","1728732311070"
