"rt","response","stim","video","question","box_colour_left","box_colour_right","correct_key","polarity","matching","modality","verbal","gesture","speaker","order","width","height","browser","vsync_rate","os","age","gender","handedness","date","blockNum","trialNum","error","vpNum"
"2101","j","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfNein_f.mp4","Ist der Ball in der blauen Box?","Blue","Green","J","negation","match","gesture","no","HeadShake","female","gesture-speech","1536","864","firefox","61.1","Windows 10","20","female","right","Wed Oct 23 2024 11:52:26 GMT+0200 (Mitteleuropäische Sommerzeit)","1","1","0","1729680924843"
"947","f","SpeechGestureMatch","../RequiredFiles/videos/JaKopfJa_f.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","match","gesture","yes","HeadNod","female","gesture-speech","1536","864","firefox","61.1","Windows 10","20","female","right","Wed Oct 23 2024 11:52:33 GMT+0200 (Mitteleuropäische Sommerzeit)","1","2","0","1729680924843"
"936","f","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfNein_f_no_sound.mp4","Ist der Ball in der grünen Box?","Blue","Green","F","negation","na","gesture","na","HeadShake","female","gesture-speech","1536","864","firefox","61.1","Windows 10","20","female","right","Wed Oct 23 2024 11:52:39 GMT+0200 (Mitteleuropäische Sommerzeit)","1","3","0","1729680924843"
"2062","j","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfJa_m.mp4","Ist der Ball in der blauen Box?","Green","Blue","J","affirmation","mismatch","gesture","no","HeadNod","male","gesture-speech","1536","864","firefox","61.1","Windows 10","20","female","right","Wed Oct 23 2024 11:52:47 GMT+0200 (Mitteleuropäische Sommerzeit)","1","4","0","1729680924843"
"785","f","SpeechGestureMatch","../RequiredFiles/videos/JaKopfJa_f_no_sound.mp4","Ist der Ball in der blauen Box?","Blue","Green","F","affirmation","na","gesture","na","HeadNod","female","gesture-speech","1536","864","firefox","61.1","Windows 10","20","female","right","Wed Oct 23 2024 11:52:53 GMT+0200 (Mitteleuropäische Sommerzeit)","1","5","0","1729680924843"
"697","j","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfJa_m_no_sound.mp4","Ist der Ball in der blauen Box?","Green","Blue","J","affirmation","na","gesture","na","HeadNod","male","gesture-speech","1536","864","firefox","61.1","Windows 10","20","female","right","Wed Oct 23 2024 11:52:59 GMT+0200 (Mitteleuropäische Sommerzeit)","1","6","0","1729680924843"
"1898","j","SpeechGestureMatch","../RequiredFiles/videos/JaKopfNein_m.mp4","Ist der Ball in der grünen Box?","Green","Blue","J","negation","mismatch","gesture","yes","HeadShake","male","gesture-speech","1536","864","firefox","61.1","Windows 10","20","female","right","Wed Oct 23 2024 11:53:07 GMT+0200 (Mitteleuropäische Sommerzeit)","1","7","0","1729680924843"
"1148","j","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfNein_f.mp4","Ist der Ball in der blauen Box?","Blue","Green","J","negation","match","gesture","no","HeadShake","female","gesture-speech","1536","864","firefox","61.1","Windows 10","20","female","right","Wed Oct 23 2024 11:53:14 GMT+0200 (Mitteleuropäische Sommerzeit)","1","8","0","1729680924843"
"807","j","SpeechGestureMatch","../RequiredFiles/videos/JaKopfJa_m_no_sound.mp4","Ist der Ball in der grünen Box?","Blue","Green","J","affirmation","na","gesture","na","HeadNod","male","gesture-speech","1536","864","firefox","61.1","Windows 10","20","female","right","Wed Oct 23 2024 11:53:20 GMT+0200 (Mitteleuropäische Sommerzeit)","1","9","0","1729680924843"
"1619","f","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfJa_f.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","mismatch","gesture","no","HeadNod","female","gesture-speech","1536","864","firefox","61.1","Windows 10","20","female","right","Wed Oct 23 2024 11:53:27 GMT+0200 (Mitteleuropäische Sommerzeit)","1","10","0","1729680924843"
"900","f","SpeechGestureMatch","../RequiredFiles/videos/JaKopfNein_m_no_sound.mp4","Ist der Ball in der grünen Box?","Blue","Green","F","negation","na","gesture","na","HeadShake","male","gesture-speech","1536","864","firefox","61.1","Windows 10","20","female","right","Wed Oct 23 2024 11:53:34 GMT+0200 (Mitteleuropäische Sommerzeit)","1","11","0","1729680924843"
"1013","j","SpeechGestureMatch","../RequiredFiles/videos/JaKopfNein_m_no_sound.mp4","Ist der Ball in der grünen Box?","Green","Blue","J","negation","na","gesture","na","HeadShake","male","gesture-speech","1536","864","firefox","61.1","Windows 10","20","female","right","Wed Oct 23 2024 11:53:40 GMT+0200 (Mitteleuropäische Sommerzeit)","1","12","0","1729680924843"
"1479","f","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfNein_m.mp4","Ist der Ball in der blauen Box?","Green","Blue","F","negation","match","gesture","no","HeadShake","male","gesture-speech","1536","864","firefox","61.1","Windows 10","20","female","right","Wed Oct 23 2024 11:53:47 GMT+0200 (Mitteleuropäische Sommerzeit)","1","13","0","1729680924843"
"837","f","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfNein_m_no_sound.mp4","Ist der Ball in der blauen Box?","Green","Blue","F","negation","na","gesture","na","HeadShake","male","gesture-speech","1536","864","firefox","61.1","Windows 10","20","female","right","Wed Oct 23 2024 11:53:54 GMT+0200 (Mitteleuropäische Sommerzeit)","1","14","0","1729680924843"
"804","j","SpeechGestureMatch","../RequiredFiles/videos/JaKopfJa_m_no_sound.mp4","Ist der Ball in der blauen Box?","Green","Blue","J","affirmation","na","gesture","na","HeadNod","male","gesture-speech","1536","864","firefox","61.1","Windows 10","20","female","right","Wed Oct 23 2024 11:54:00 GMT+0200 (Mitteleuropäische Sommerzeit)","1","15","0","1729680924843"
"7097","j","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfNein_m.mp4","Ist der Ball in der grünen Box?","Green","Blue","J","negation","match","gesture","no","HeadShake","male","gesture-speech","1536","864","firefox","61.1","Windows 10","20","female","right","Wed Oct 23 2024 11:54:13 GMT+0200 (Mitteleuropäische Sommerzeit)","1","16","0","1729680924843"
"946","f","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfJa_m_no_sound.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","na","gesture","na","HeadNod","male","gesture-speech","1536","864","firefox","61.1","Windows 10","20","female","right","Wed Oct 23 2024 11:54:19 GMT+0200 (Mitteleuropäische Sommerzeit)","1","17","0","1729680924843"
"1965","j","SpeechGestureMatch","../RequiredFiles/videos/JaKopfNein_m.mp4","Ist der Ball in der grünen Box?","Green","Blue","J","negation","mismatch","gesture","yes","HeadShake","male","gesture-speech","1536","864","firefox","61.1","Windows 10","20","female","right","Wed Oct 23 2024 11:54:27 GMT+0200 (Mitteleuropäische Sommerzeit)","1","18","0","1729680924843"
"1122","j","SpeechGestureMatch","../RequiredFiles/videos/JaKopfNein_f.mp4","Ist der Ball in der grünen Box?","Green","Blue","J","negation","mismatch","gesture","yes","HeadShake","female","gesture-speech","1536","864","firefox","61.1","Windows 10","20","female","right","Wed Oct 23 2024 11:54:34 GMT+0200 (Mitteleuropäische Sommerzeit)","1","19","0","1729680924843"
"767","f","SpeechGestureMatch","../RequiredFiles/videos/JaKopfJa_f.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","match","gesture","yes","HeadNod","female","gesture-speech","1536","864","firefox","61.1","Windows 10","20","female","right","Wed Oct 23 2024 11:54:40 GMT+0200 (Mitteleuropäische Sommerzeit)","1","20","0","1729680924843"
"1185","f","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfJa_m.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","mismatch","gesture","no","HeadNod","male","gesture-speech","1536","864","firefox","61.1","Windows 10","20","female","right","Wed Oct 23 2024 11:54:47 GMT+0200 (Mitteleuropäische Sommerzeit)","1","21","0","1729680924843"
"725","f","SpeechGestureMatch","../RequiredFiles/videos/JaKopfJa_f.mp4","Ist der Ball in der blauen Box?","Blue","Green","F","affirmation","match","gesture","yes","HeadNod","female","gesture-speech","1536","864","firefox","61.1","Windows 10","20","female","right","Wed Oct 23 2024 11:54:53 GMT+0200 (Mitteleuropäische Sommerzeit)","1","22","0","1729680924843"
"681","f","SpeechGestureMatch","../RequiredFiles/videos/JaKopfJa_f_no_sound.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","na","gesture","na","HeadNod","female","gesture-speech","1536","864","firefox","61.1","Windows 10","20","female","right","Wed Oct 23 2024 11:54:59 GMT+0200 (Mitteleuropäische Sommerzeit)","1","23","0","1729680924843"
"2418","f","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfJa_m.mp4","Ist der Ball in der blauen Box?","Blue","Green","F","affirmation","mismatch","gesture","no","HeadNod","male","gesture-speech","1536","864","firefox","61.1","Windows 10","20","female","right","Wed Oct 23 2024 11:55:07 GMT+0200 (Mitteleuropäische Sommerzeit)","1","24","0","1729680924843"
"1675","j","SpeechGestureMatch","../RequiredFiles/videos/JaKopfJa_f.mp4","Ist der Ball in der blauen Box?","Green","Blue","J","affirmation","match","gesture","yes","HeadNod","female","gesture-speech","1536","864","firefox","61.1","Windows 10","20","female","right","Wed Oct 23 2024 11:55:14 GMT+0200 (Mitteleuropäische Sommerzeit)","1","25","0","1729680924843"
"1023","f","SpeechGestureMatch","../RequiredFiles/videos/JaKopfNein_f.mp4","Ist der Ball in der blauen Box?","Green","Blue","F","negation","mismatch","gesture","yes","HeadShake","female","gesture-speech","1536","864","firefox","61.1","Windows 10","20","female","right","Wed Oct 23 2024 11:55:21 GMT+0200 (Mitteleuropäische Sommerzeit)","1","26","0","1729680924843"
"963","j","SpeechGestureMatch","../RequiredFiles/videos/JaKopfNein_f_no_sound.mp4","Ist der Ball in der grünen Box?","Green","Blue","J","negation","na","gesture","na","HeadShake","female","gesture-speech","1536","864","firefox","61.1","Windows 10","20","female","right","Wed Oct 23 2024 11:55:28 GMT+0200 (Mitteleuropäische Sommerzeit)","1","27","0","1729680924843"
"1936","f","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfJa_m.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","mismatch","gesture","no","HeadNod","male","gesture-speech","1536","864","firefox","61.1","Windows 10","20","female","right","Wed Oct 23 2024 11:55:35 GMT+0200 (Mitteleuropäische Sommerzeit)","1","28","0","1729680924843"
"997","j","SpeechGestureMatch","../RequiredFiles/videos/JaKopfNein_m.mp4","Ist der Ball in der blauen Box?","Blue","Green","J","negation","mismatch","gesture","yes","HeadShake","male","gesture-speech","1536","864","firefox","61.1","Windows 10","20","female","right","Wed Oct 23 2024 11:55:42 GMT+0200 (Mitteleuropäische Sommerzeit)","1","29","0","1729680924843"
"1091","f","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfJa_f.mp4","Ist der Ball in der blauen Box?","Blue","Green","F","affirmation","mismatch","gesture","no","HeadNod","female","gesture-speech","1536","864","firefox","61.1","Windows 10","20","female","right","Wed Oct 23 2024 11:55:48 GMT+0200 (Mitteleuropäische Sommerzeit)","1","30","0","1729680924843"
"899","f","SpeechGestureMatch","../RequiredFiles/videos/JaKopfNein_m_no_sound.mp4","Ist der Ball in der blauen Box?","Green","Blue","F","negation","na","gesture","na","HeadShake","male","gesture-speech","1536","864","firefox","61.1","Windows 10","20","female","right","Wed Oct 23 2024 11:55:55 GMT+0200 (Mitteleuropäische Sommerzeit)","1","31","0","1729680924843"
