"rt","response","stim","video","question","box_colour_left","box_colour_right","correct_key","polarity","matching","modality","verbal","gesture","speaker","order","width","height","browser","vsync_rate","os","age","gender","handedness","date","blockNum","trialNum","error","vpNum"
"1012","f","SpeechGestureMatch","../RequiredFiles/videos/JaKopfNein_f.mp4","Ist der Ball in der blauen Box?","Green","Blue","F","negation","mismatch","gesture","yes","HeadShake","female","gesture-speech","1280","720","edge-chromium","60.65","Windows 10","21","female","right","Tue Oct 22 2024 16:37:23 GMT+0200 (Mitteleuropäische Sommerzeit)","1","1","0","1729610588169"
"892","j","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfJa_f.mp4","Ist der Ball in der blauen Box?","Green","Blue","J","affirmation","mismatch","gesture","no","HeadNod","female","gesture-speech","1280","720","edge-chromium","60.65","Windows 10","21","female","right","Tue Oct 22 2024 16:37:29 GMT+0200 (Mitteleuropäische Sommerzeit)","1","2","0","1729610588169"
"766","j","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfJa_f.mp4","Ist der Ball in der grünen Box?","Blue","Green","J","affirmation","mismatch","gesture","no","HeadNod","female","gesture-speech","1280","720","edge-chromium","60.65","Windows 10","21","female","right","Tue Oct 22 2024 16:37:36 GMT+0200 (Mitteleuropäische Sommerzeit)","1","3","0","1729610588169"
"888","f","SpeechGestureMatch","../RequiredFiles/videos/JaKopfNein_m_no_sound.mp4","Ist der Ball in der blauen Box?","Green","Blue","F","negation","na","gesture","na","HeadShake","male","gesture-speech","1280","720","edge-chromium","60.65","Windows 10","21","female","right","Tue Oct 22 2024 16:37:42 GMT+0200 (Mitteleuropäische Sommerzeit)","1","4","0","1729610588169"
"1169","j","SpeechGestureMatch","../RequiredFiles/videos/JaKopfNein_f.mp4","Ist der Ball in der blauen Box?","Blue","Green","J","negation","mismatch","gesture","yes","HeadShake","female","gesture-speech","1280","720","edge-chromium","60.65","Windows 10","21","female","right","Tue Oct 22 2024 16:37:49 GMT+0200 (Mitteleuropäische Sommerzeit)","1","5","0","1729610588169"
"845","j","SpeechGestureMatch","../RequiredFiles/videos/JaKopfJa_m.mp4","Ist der Ball in der blauen Box?","Green","Blue","J","affirmation","match","gesture","yes","HeadNod","male","gesture-speech","1280","720","edge-chromium","60.65","Windows 10","21","female","right","Tue Oct 22 2024 16:37:55 GMT+0200 (Mitteleuropäische Sommerzeit)","1","6","0","1729610588169"
"665","j","SpeechGestureMatch","../RequiredFiles/videos/JaKopfJa_f_no_sound.mp4","Ist der Ball in der blauen Box?","Green","Blue","J","affirmation","na","gesture","na","HeadNod","female","gesture-speech","1280","720","edge-chromium","60.65","Windows 10","21","female","right","Tue Oct 22 2024 16:38:01 GMT+0200 (Mitteleuropäische Sommerzeit)","1","7","0","1729610588169"
"837","j","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfJa_m_no_sound.mp4","Ist der Ball in der blauen Box?","Blue","Green","F","affirmation","na","gesture","na","HeadNod","male","gesture-speech","1280","720","edge-chromium","60.65","Windows 10","21","female","right","Tue Oct 22 2024 16:38:08 GMT+0200 (Mitteleuropäische Sommerzeit)","1","8","1","1729610588169"
"1485","f","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfNein_f.mp4","Ist der Ball in der grünen Box?","Blue","Green","F","negation","match","gesture","no","HeadShake","female","gesture-speech","1280","720","edge-chromium","60.65","Windows 10","21","female","right","Tue Oct 22 2024 16:38:15 GMT+0200 (Mitteleuropäische Sommerzeit)","1","9","0","1729610588169"
"1071","j","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfJa_m_no_sound.mp4","Ist der Ball in der grünen Box?","Blue","Green","J","affirmation","na","gesture","na","HeadNod","male","gesture-speech","1280","720","edge-chromium","60.65","Windows 10","21","female","right","Tue Oct 22 2024 16:38:21 GMT+0200 (Mitteleuropäische Sommerzeit)","1","10","0","1729610588169"
"970","f","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfJa_f.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","mismatch","gesture","no","HeadNod","female","gesture-speech","1280","720","edge-chromium","60.65","Windows 10","21","female","right","Tue Oct 22 2024 16:38:28 GMT+0200 (Mitteleuropäische Sommerzeit)","1","11","0","1729610588169"
"755","j","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfJa_f_no_sound.mp4","Ist der Ball in der blauen Box?","Green","Blue","J","affirmation","na","gesture","na","HeadNod","female","gesture-speech","1280","720","edge-chromium","60.65","Windows 10","21","female","right","Tue Oct 22 2024 16:38:34 GMT+0200 (Mitteleuropäische Sommerzeit)","1","12","0","1729610588169"
"922","f","SpeechGestureMatch","../RequiredFiles/videos/JaKopfJa_m.mp4","Ist der Ball in der blauen Box?","Blue","Green","F","affirmation","match","gesture","yes","HeadNod","male","gesture-speech","1280","720","edge-chromium","60.65","Windows 10","21","female","right","Tue Oct 22 2024 16:38:41 GMT+0200 (Mitteleuropäische Sommerzeit)","1","13","0","1729610588169"
"865","j","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfJa_f.mp4","Ist der Ball in der grünen Box?","Blue","Green","J","affirmation","mismatch","gesture","no","HeadNod","female","gesture-speech","1280","720","edge-chromium","60.65","Windows 10","21","female","right","Tue Oct 22 2024 16:38:47 GMT+0200 (Mitteleuropäische Sommerzeit)","1","14","0","1729610588169"
"779","f","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfNein_m.mp4","Ist der Ball in der blauen Box?","Green","Blue","F","negation","match","gesture","no","HeadShake","male","gesture-speech","1280","720","edge-chromium","60.65","Windows 10","21","female","right","Tue Oct 22 2024 16:38:53 GMT+0200 (Mitteleuropäische Sommerzeit)","1","15","0","1729610588169"
"727","f","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfJa_f.mp4","Ist der Ball in der blauen Box?","Blue","Green","F","affirmation","mismatch","gesture","no","HeadNod","female","gesture-speech","1280","720","edge-chromium","60.65","Windows 10","21","female","right","Tue Oct 22 2024 16:39:00 GMT+0200 (Mitteleuropäische Sommerzeit)","1","16","0","1729610588169"
"723","j","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfNein_m.mp4","Ist der Ball in der blauen Box?","Blue","Green","J","negation","match","gesture","no","HeadShake","male","gesture-speech","1280","720","edge-chromium","60.65","Windows 10","21","female","right","Tue Oct 22 2024 16:39:06 GMT+0200 (Mitteleuropäische Sommerzeit)","1","17","0","1729610588169"
"1019","f","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfNein_m_no_sound.mp4","Ist der Ball in der grünen Box?","Blue","Green","F","negation","na","gesture","na","HeadShake","male","gesture-speech","1280","720","edge-chromium","60.65","Windows 10","21","female","right","Tue Oct 22 2024 16:39:12 GMT+0200 (Mitteleuropäische Sommerzeit)","1","18","0","1729610588169"
"880","j","SpeechGestureMatch","../RequiredFiles/videos/JaKopfJa_f.mp4","Ist der Ball in der blauen Box?","Green","Blue","J","affirmation","match","gesture","yes","HeadNod","female","gesture-speech","1280","720","edge-chromium","60.65","Windows 10","21","female","right","Tue Oct 22 2024 16:39:19 GMT+0200 (Mitteleuropäische Sommerzeit)","1","19","0","1729610588169"
"1627","f","SpeechGestureMatch","../RequiredFiles/videos/JaKopfJa_f.mp4","Ist der Ball in der blauen Box?","Blue","Green","F","affirmation","match","gesture","yes","HeadNod","female","gesture-speech","1280","720","edge-chromium","60.65","Windows 10","21","female","right","Tue Oct 22 2024 16:39:26 GMT+0200 (Mitteleuropäische Sommerzeit)","1","20","0","1729610588169"
"1061","j","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfNein_m.mp4","Ist der Ball in der grünen Box?","Blue","Green","F","negation","match","gesture","no","HeadShake","male","gesture-speech","1280","720","edge-chromium","60.65","Windows 10","21","female","right","Tue Oct 22 2024 16:39:33 GMT+0200 (Mitteleuropäische Sommerzeit)","1","21","1","1729610588169"
"969","j","SpeechGestureMatch","../RequiredFiles/videos/JaKopfJa_f.mp4","Ist der Ball in der grünen Box?","Blue","Green","J","affirmation","match","gesture","yes","HeadNod","female","gesture-speech","1280","720","edge-chromium","60.65","Windows 10","21","female","right","Tue Oct 22 2024 16:39:39 GMT+0200 (Mitteleuropäische Sommerzeit)","1","22","0","1729610588169"
"785","f","SpeechGestureMatch","../RequiredFiles/videos/JaKopfJa_m.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","match","gesture","yes","HeadNod","male","gesture-speech","1280","720","edge-chromium","60.65","Windows 10","21","female","right","Tue Oct 22 2024 16:39:46 GMT+0200 (Mitteleuropäische Sommerzeit)","1","23","0","1729610588169"
"1901","j","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfNein_m_no_sound.mp4","Ist der Ball in der blauen Box?","Blue","Green","J","negation","na","gesture","na","HeadShake","male","gesture-speech","1280","720","edge-chromium","60.65","Windows 10","21","female","right","Tue Oct 22 2024 16:39:53 GMT+0200 (Mitteleuropäische Sommerzeit)","1","24","0","1729610588169"
"1335","j","SpeechGestureMatch","../RequiredFiles/videos/JaKopfNein_f.mp4","Ist der Ball in der blauen Box?","Blue","Green","J","negation","mismatch","gesture","yes","HeadShake","female","gesture-speech","1280","720","edge-chromium","60.65","Windows 10","21","female","right","Tue Oct 22 2024 16:40:00 GMT+0200 (Mitteleuropäische Sommerzeit)","1","25","0","1729610588169"
"940","f","SpeechGestureMatch","../RequiredFiles/videos/JaKopfNein_f_no_sound.mp4","Ist der Ball in der grünen Box?","Blue","Green","F","negation","na","gesture","na","HeadShake","female","gesture-speech","1280","720","edge-chromium","60.65","Windows 10","21","female","right","Tue Oct 22 2024 16:40:06 GMT+0200 (Mitteleuropäische Sommerzeit)","1","26","0","1729610588169"
