"rt","response","stim","video","question","box_colour_left","box_colour_right","correct_key","polarity","matching","modality","verbal","gesture","speaker","order","width","height","browser","vsync_rate","os","age","gender","handedness","date","blockNum","trialNum","error","vpNum"
"1018","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenhoch_m.mp4","Ist der Ball in der blauen Box?","Green","Blue","J","affirmation","mismatch","gesture","no","ThumbUp","male","gesture-speech","1440","960","edge-chromium","60.22","Windows 10","20","female","right","Sat Oct 12 2024 08:43:19 GMT+0200 (Mitteleuropäische Sommerzeit)","1","1","0","1728718138256"
"1148","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenrunter_m.mp4","Ist der Ball in der blauen Box?","Blue","Green","J","negation","match","gesture","no","ThumbDown","male","gesture-speech","1440","960","edge-chromium","60.22","Windows 10","20","female","right","Sat Oct 12 2024 08:43:26 GMT+0200 (Mitteleuropäische Sommerzeit)","1","2","0","1728718138256"
"1104","j","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenhoch_f.mp4","Ist der Ball in der grünen Box?","Blue","Green","J","affirmation","match","gesture","yes","ThumbUp","female","gesture-speech","1440","960","edge-chromium","60.22","Windows 10","20","female","right","Sat Oct 12 2024 08:43:33 GMT+0200 (Mitteleuropäische Sommerzeit)","1","3","0","1728718138256"
"1315","j","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenrunter_f.mp4","Ist der Ball in der grünen Box?","Green","Blue","J","negation","mismatch","gesture","yes","ThumbDown","female","gesture-speech","1440","960","edge-chromium","60.22","Windows 10","20","female","right","Sat Oct 12 2024 08:43:39 GMT+0200 (Mitteleuropäische Sommerzeit)","1","4","0","1728718138256"
"1131","j","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenrunter_m.mp4","Ist der Ball in der grünen Box?","Green","Blue","J","negation","mismatch","gesture","yes","ThumbDown","male","gesture-speech","1440","960","edge-chromium","60.22","Windows 10","20","female","right","Sat Oct 12 2024 08:43:46 GMT+0200 (Mitteleuropäische Sommerzeit)","1","5","0","1728718138256"
"963","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenhoch_m.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","match","gesture","yes","ThumbUp","male","gesture-speech","1440","960","edge-chromium","60.22","Windows 10","20","female","right","Sat Oct 12 2024 08:43:53 GMT+0200 (Mitteleuropäische Sommerzeit)","1","6","0","1728718138256"
"1179","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenhoch_f.mp4","Ist der Ball in der grünen Box?","Blue","Green","J","affirmation","mismatch","gesture","no","ThumbUp","female","gesture-speech","1440","960","edge-chromium","60.22","Windows 10","20","female","right","Sat Oct 12 2024 08:43:59 GMT+0200 (Mitteleuropäische Sommerzeit)","1","7","0","1728718138256"
"994","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenhoch_f_no_sound.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","na","gesture","na","ThumbUp","female","gesture-speech","1440","960","edge-chromium","60.22","Windows 10","20","female","right","Sat Oct 12 2024 08:44:06 GMT+0200 (Mitteleuropäische Sommerzeit)","1","8","0","1728718138256"
"1590","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenrunter_f.mp4","Ist der Ball in der blauen Box?","Green","Blue","F","negation","mismatch","gesture","yes","ThumbDown","female","gesture-speech","1440","960","edge-chromium","60.22","Windows 10","20","female","right","Sat Oct 12 2024 08:44:13 GMT+0200 (Mitteleuropäische Sommerzeit)","1","9","0","1728718138256"
"1159","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenhoch_f_no_sound.mp4","Ist der Ball in der blauen Box?","Green","Blue","J","affirmation","na","gesture","na","ThumbUp","female","gesture-speech","1440","960","edge-chromium","60.22","Windows 10","20","female","right","Sat Oct 12 2024 08:44:20 GMT+0200 (Mitteleuropäische Sommerzeit)","1","10","0","1728718138256"
"813","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenhoch_f_no_sound.mp4","Ist der Ball in der blauen Box?","Blue","Green","F","affirmation","na","gesture","na","ThumbUp","female","gesture-speech","1440","960","edge-chromium","60.22","Windows 10","20","female","right","Sat Oct 12 2024 08:44:26 GMT+0200 (Mitteleuropäische Sommerzeit)","1","11","0","1728718138256"
"1027","j","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenrunter_f_no_sound.mp4","Ist der Ball in der grünen Box?","Green","Blue","J","negation","na","gesture","na","ThumbDown","female","gesture-speech","1440","960","edge-chromium","60.22","Windows 10","20","female","right","Sat Oct 12 2024 08:44:33 GMT+0200 (Mitteleuropäische Sommerzeit)","1","12","0","1728718138256"
"1376","f","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenhoch_f.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","mismatch","gesture","no","ThumbUp","female","gesture-speech","1440","960","edge-chromium","60.22","Windows 10","20","female","right","Sat Oct 12 2024 08:44:40 GMT+0200 (Mitteleuropäische Sommerzeit)","1","13","0","1728718138256"
"1080","f","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenrunter_f.mp4","Ist der Ball in der blauen Box?","Green","Blue","F","negation","match","gesture","no","ThumbDown","female","gesture-speech","1440","960","edge-chromium","60.22","Windows 10","20","female","right","Sat Oct 12 2024 08:44:46 GMT+0200 (Mitteleuropäische Sommerzeit)","1","14","0","1728718138256"
"1054","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenhoch_m.mp4","Ist der Ball in der grünen Box?","Blue","Green","J","affirmation","mismatch","gesture","no","ThumbUp","male","gesture-speech","1440","960","edge-chromium","60.22","Windows 10","20","female","right","Sat Oct 12 2024 08:44:53 GMT+0200 (Mitteleuropäische Sommerzeit)","1","15","0","1728718138256"
"1016","f","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenrunter_f_no_sound.mp4","Ist der Ball in der grünen Box?","Blue","Green","F","negation","na","gesture","na","ThumbDown","female","gesture-speech","1440","960","edge-chromium","60.22","Windows 10","20","female","right","Sat Oct 12 2024 08:44:59 GMT+0200 (Mitteleuropäische Sommerzeit)","1","16","0","1728718138256"
"1378","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenrunter_m.mp4","Ist der Ball in der blauen Box?","Green","Blue","F","negation","mismatch","gesture","yes","ThumbDown","male","gesture-speech","1440","960","edge-chromium","60.22","Windows 10","20","female","right","Sat Oct 12 2024 08:45:06 GMT+0200 (Mitteleuropäische Sommerzeit)","1","17","0","1728718138256"
"1081","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenrunter_f.mp4","Ist der Ball in der blauen Box?","Green","Blue","F","negation","mismatch","gesture","yes","ThumbDown","female","gesture-speech","1440","960","edge-chromium","60.22","Windows 10","20","female","right","Sat Oct 12 2024 08:45:13 GMT+0200 (Mitteleuropäische Sommerzeit)","1","18","0","1728718138256"
