"rt","response","stim","video","question","box_colour_left","box_colour_right","correct_key","polarity","matching","modality","verbal","gesture","speaker","order","width","height","browser","vsync_rate","os","age","gender","handedness","date","blockNum","trialNum","error","vpNum"
"1993","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenrunter_m.mp4","Ist der Ball in der grünen Box?","Green","Blue","J","negation","match","gesture","no","ThumbDown","male","gesture-speech","1440","900","safari","60","Mac OS","23","female","right","Wed Oct 23 2024 10:33:25 GMT+0200 (Mitteleuropäische Sommerzeit)","1","1","0","1729675767958"
"2618","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenrunter_f.mp4","Ist der Ball in der blauen Box?","Green","Blue","F","negation","mismatch","gesture","yes","ThumbDown","female","gesture-speech","1440","900","safari","60","Mac OS","23","female","right","Wed Oct 23 2024 10:33:33 GMT+0200 (Mitteleuropäische Sommerzeit)","1","2","0","1729675767958"
"3643","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenrunter_m.mp4","Ist der Ball in der blauen Box?","Blue","Green","J","negation","match","gesture","no","ThumbDown","male","gesture-speech","1440","900","safari","60","Mac OS","23","female","right","Wed Oct 23 2024 10:33:42 GMT+0200 (Mitteleuropäische Sommerzeit)","1","3","0","1729675767958"
"1856","f","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenrunter_f.mp4","Ist der Ball in der blauen Box?","Green","Blue","F","negation","match","gesture","no","ThumbDown","female","gesture-speech","1440","900","safari","60","Mac OS","23","female","right","Wed Oct 23 2024 10:33:49 GMT+0200 (Mitteleuropäische Sommerzeit)","1","4","0","1729675767958"
"2192","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenrunter_m.mp4","Ist der Ball in der blauen Box?","Green","Blue","F","negation","mismatch","gesture","yes","ThumbDown","male","gesture-speech","1440","900","safari","60","Mac OS","23","female","right","Wed Oct 23 2024 10:33:57 GMT+0200 (Mitteleuropäische Sommerzeit)","1","5","0","1729675767958"
"2026","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenrunter_f_no_sound.mp4","Ist der Ball in der blauen Box?","Blue","Green","J","negation","na","gesture","na","ThumbDown","female","gesture-speech","1440","900","safari","60","Mac OS","23","female","right","Wed Oct 23 2024 10:34:04 GMT+0200 (Mitteleuropäische Sommerzeit)","1","6","0","1729675767958"
"3254","f","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenrunter_m.mp4","Ist der Ball in der grünen Box?","Blue","Green","F","negation","match","gesture","no","ThumbDown","male","gesture-speech","1440","900","safari","60","Mac OS","23","female","right","Wed Oct 23 2024 10:34:13 GMT+0200 (Mitteleuropäische Sommerzeit)","1","7","0","1729675767958"
"1929","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenrunter_f.mp4","Ist der Ball in der blauen Box?","Blue","Green","J","negation","match","gesture","no","ThumbDown","female","gesture-speech","1440","900","safari","60","Mac OS","23","female","right","Wed Oct 23 2024 10:34:21 GMT+0200 (Mitteleuropäische Sommerzeit)","1","8","0","1729675767958"
"1778","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenhoch_f_no_sound.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","na","gesture","na","ThumbUp","female","gesture-speech","1440","900","safari","60","Mac OS","23","female","right","Wed Oct 23 2024 10:34:28 GMT+0200 (Mitteleuropäische Sommerzeit)","1","9","0","1729675767958"
"1745","j","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenhoch_f.mp4","Ist der Ball in der grünen Box?","Blue","Green","J","affirmation","match","gesture","yes","ThumbUp","female","gesture-speech","1440","900","safari","60","Mac OS","23","female","right","Wed Oct 23 2024 10:34:35 GMT+0200 (Mitteleuropäische Sommerzeit)","1","10","0","1729675767958"
"1495","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenrunter_m_no_sound.mp4","Ist der Ball in der grünen Box?","Green","Blue","J","negation","na","gesture","na","ThumbDown","male","gesture-speech","1440","900","safari","60","Mac OS","23","female","right","Wed Oct 23 2024 10:34:42 GMT+0200 (Mitteleuropäische Sommerzeit)","1","11","0","1729675767958"
"1978","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenrunter_m.mp4","Ist der Ball in der grünen Box?","Blue","Green","F","negation","mismatch","gesture","yes","ThumbDown","male","gesture-speech","1440","900","safari","60","Mac OS","23","female","right","Wed Oct 23 2024 10:34:50 GMT+0200 (Mitteleuropäische Sommerzeit)","1","12","0","1729675767958"
"1992","f","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenhoch_m.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","match","gesture","yes","ThumbUp","male","gesture-speech","1440","900","safari","60","Mac OS","23","female","right","Wed Oct 23 2024 10:34:57 GMT+0200 (Mitteleuropäische Sommerzeit)","1","13","0","1729675767958"
"1341","j","SpeechGestureMatch","../RequiredFiles/videos/JaDaumenhoch_m_no_sound.mp4","Ist der Ball in der grünen Box?","Blue","Green","J","affirmation","na","gesture","na","ThumbUp","male","gesture-speech","1440","900","safari","60","Mac OS","23","female","right","Wed Oct 23 2024 10:35:04 GMT+0200 (Mitteleuropäische Sommerzeit)","1","14","0","1729675767958"
"2353","j","SpeechGestureMatch","../RequiredFiles/videos/NeinDaumenrunter_f.mp4","Ist der Ball in der grünen Box?","Green","Blue","J","negation","match","gesture","no","ThumbDown","female","gesture-speech","1440","900","safari","60","Mac OS","23","female","right","Wed Oct 23 2024 10:35:12 GMT+0200 (Mitteleuropäische Sommerzeit)","1","15","0","1729675767958"
