"rt","response","stim","video","question","box_colour_left","box_colour_right","correct_key","polarity","matching","modality","verbal","gesture","speaker","order","width","height","browser","vsync_rate","os","age","gender","handedness","date","blockNum","trialNum","error","vpNum"
"1085","j","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfJa_f_no_sound.mp4","Ist der Ball in der blauen Box?","Green","Blue","J","affirmation","na","gesture","na","HeadNod","female","gesture-speech","1280","800","firefox","60","Windows 10","20","male","right","Tue Oct 22 2024 17:29:04 GMT+0200 (Mitteleuropäische Sommerzeit)","1","1","0","1729613950224"
"1138","f","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfJa_f_no_sound.mp4","Ist der Ball in der grünen Box?","Green","Blue","F","affirmation","na","gesture","na","HeadNod","female","gesture-speech","1280","800","firefox","60","Windows 10","20","male","right","Tue Oct 22 2024 17:29:11 GMT+0200 (Mitteleuropäische Sommerzeit)","1","2","0","1729613950224"
"1851","j","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfNein_m_no_sound.mp4","Ist der Ball in der grünen Box?","Green","Blue","J","negation","na","gesture","na","HeadShake","male","gesture-speech","1280","800","firefox","60","Windows 10","20","male","right","Tue Oct 22 2024 17:29:18 GMT+0200 (Mitteleuropäische Sommerzeit)","1","3","0","1729613950224"
"3427","f","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfNein_f.mp4","Ist der Ball in der blauen Box?","Green","Blue","F","negation","match","gesture","no","HeadShake","female","gesture-speech","1280","800","firefox","60","Windows 10","20","male","right","Tue Oct 22 2024 17:29:27 GMT+0200 (Mitteleuropäische Sommerzeit)","1","4","0","1729613950224"
"2892","j","SpeechGestureMatch","../RequiredFiles/videos/JaKopfNein_m_no_sound.mp4","Ist der Ball in der grünen Box?","Green","Blue","J","negation","na","gesture","na","HeadShake","male","gesture-speech","1280","800","firefox","60","Windows 10","20","male","right","Tue Oct 22 2024 17:29:36 GMT+0200 (Mitteleuropäische Sommerzeit)","1","5","0","1729613950224"
"2576","f","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfNein_f.mp4","Ist der Ball in der grünen Box?","Blue","Green","F","negation","match","gesture","no","HeadShake","female","gesture-speech","1280","800","firefox","60","Windows 10","20","male","right","Tue Oct 22 2024 17:29:44 GMT+0200 (Mitteleuropäische Sommerzeit)","1","6","0","1729613950224"
"1079","j","SpeechGestureMatch","../RequiredFiles/videos/NeinKopfNein_m_no_sound.mp4","Ist der Ball in der blauen Box?","Blue","Green","J","negation","na","gesture","na","HeadShake","male","gesture-speech","1280","800","firefox","60","Windows 10","20","male","right","Tue Oct 22 2024 17:29:51 GMT+0200 (Mitteleuropäische Sommerzeit)","1","7","0","1729613950224"
"1968","f","SpeechGestureMatch","../RequiredFiles/videos/JaKopfNein_m.mp4","Ist der Ball in der blauen Box?","Green","Blue","F","negation","mismatch","gesture","yes","HeadShake","male","gesture-speech","1280","800","firefox","60","Windows 10","20","male","right","Tue Oct 22 2024 17:29:58 GMT+0200 (Mitteleuropäische Sommerzeit)","1","8","0","1729613950224"
"1404","j","SpeechGestureMatch","../RequiredFiles/videos/JaKopfNein_f.mp4","Ist der Ball in der blauen Box?","Blue","Green","J","negation","mismatch","gesture","yes","HeadShake","female","gesture-speech","1280","800","firefox","60","Windows 10","20","male","right","Tue Oct 22 2024 17:30:05 GMT+0200 (Mitteleuropäische Sommerzeit)","1","9","0","1729613950224"
"1674","f","SpeechGestureMatch","../RequiredFiles/videos/JaKopfNein_f.mp4","Ist der Ball in der blauen Box?","Green","Blue","F","negation","mismatch","gesture","yes","HeadShake","female","gesture-speech","1280","800","firefox","60","Windows 10","20","male","right","Tue Oct 22 2024 17:30:12 GMT+0200 (Mitteleuropäische Sommerzeit)","1","10","0","1729613950224"
